EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
759,MB,-1,0,0.73033708
759,MB,0,-1,0
759,MB,0,0,0
758,MB,-1,-1,0.21754142
758,MB,-1,0,0.35544262
758,MB,0,-1,0.07056855
758,MB,0,0,0.35644742
757,MB,-1,-1,0.71365029
757,MB,-1,0,0.11280995
757,MB,0,-1,0.02143681
757,MB,0,0,0.15210295
756,SK,-1,-1,0.93108678
756,SK,-1,0,0
756,SK,0,-1,0
756,SK,0,0,0.06891322
755,SK,-1,-1,0.99149309
755,SK,-1,0,0
755,SK,0,-1,0.00850691
755,SK,0,0,0
754,SK,-1,-1,0.18358586
754,SK,-1,0,0.41481295
754,SK,0,-1,0.0172924
754,SK,0,0,0.38430879
753,MB,-1,-1,0.11313489
753,MB,-1,0,0.75890396
753,MB,0,-1,0.01472051
753,MB,0,0,0.11324065
752,MB,-1,-1,0
752,MB,-1,0,0.74970519
752,MB,0,-1,0
752,MB,0,0,0.25029481
752,SK,-1,-1,0.8775497
752,SK,-1,0,0.00414644
752,SK,0,-1,0.06002349
752,SK,0,0,0.05828038
751,MB,-1,-1,0.20288961
751,MB,-1,0,0.60601353
751,MB,0,-1,0
751,MB,0,0,0.19109686
751,SK,-1,-1,0.86914456
751,SK,-1,0,0
751,SK,0,-1,0
751,SK,0,0,0.13085544
750,AB,-1,-1,0.06187087
750,AB,-1,0,0.93812913
750,AB,0,-1,0
750,AB,0,0,0
749,SK,-1,-1,0.49840609
749,SK,-1,0,0.09167985
749,SK,0,-1,0.01892704
749,SK,0,0,0.39098702
748,SK,-1,-1,0.89229617
748,SK,-1,0,0.0012018
748,SK,0,-1,0.05131592
748,SK,0,0,0.05518611
747,SK,-1,-1,0.94002232
747,SK,-1,0,0
747,SK,0,-1,0.05997768
747,SK,0,0,0
746,AB,-1,-1,0
746,AB,-1,0,1
746,AB,0,-1,0
746,AB,0,0,0
745,SK,-1,-1,0.50893188
745,SK,-1,0,0.07264511
745,SK,0,-1,0.04975022
