ECODISTRIC,PROVINCE,YEAR,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,PERCAC,PERCAM,PERCAF,PERCPC,PERCPM,PERCPF
507,NS,1990,3011.717,1475.339,0,9276.493,4869.259,0,67,33,0,66,34,0
508,NB,1990,375,0,0,970,0,0,100,0,0,100,0,0
509,NS,1990,264,1319,0,550.001,3918.001,0,17,83,0,12,88,0
510,NS,1990,40.733,33.916,0,261.333,212.666,0,55,45,0,55,45,0
511,NS,1990,0,27.998,0,0,196,0,0,100,0,0,100,0
512,NS,1990,0,699.516,0,0,5172.004,0,0,100,0,0,100,0
513,NS,1990,111.471,309.111,0,487.849,1258.151,0,27,73,0,28,72,0
514,NS,1990,3.69,0,0,32,0,0,100,0,0,100,0,0
516,NS,1990,236.613,514.299,0,2304.69,2786.311,0,32,68,0,45,55,0
517,NS,1990,387.461,2900.365,0,3182.308,23903.693,0,12,88,0,12,88,0
518,NS,1990,9411.435,4582.27,0,14904.816,10912.741,0,67,33,0,58,42,0
519,NS,1990,0,209,0,0,811,0,0,100,0,0,100,0
520,NS,1990,12.5,373.501,0,79,2161,0,3,97,0,4,96,0
521,NS,1990,0,82,0,0,721,0,0,100,0,0,100,0
522,NS,1990,79.06,200.864,0,895.594,3517.406,0,28,72,0,20,80,0
523,NS,1990,191.367,508.165,0,785.233,4104.765,0,27,73,0,16,84,0
524,NS,1990,7,15,0,99,115,0,32,68,0,46,54,0
525,NS,1990,261.185,792.468,0,2083.032,8105.971,0,25,75,0,20,80,0
527,NS,1990,53.666,575.332,0,254.773,2440.228,0,9,91,0,9,91,0
528,NS,1990,1490.623,1284.156,0,1678.283,1639.713,0,54,46,0,51,49,0
529,NS,1990,0,142.001,0,0,1023.001,0,0,100,0,0,100,0
530,NS,1990,19.333,1104.663,0,114.667,1760.333,0,2,98,0,6,94,0
531,NS,1990,389.148,856.129,0,960.358,5090.641,0,31,69,0,16,84,0
534,PE,1990,13772.267,4336.732,0,16347.458,4260.542,0,76,24,0,79,21,0
535,PE,1990,20289,0,0,13559,0,0,100,0,0,100,0,0
536,PE,1990,37791.082,2140.917,0,42098.295,2674.708,0,95,5,0,94,6,0
537,PE,1990,20241.445,493.556,0,24869.001,620,0,98,2,0,98,2,0
538,PE,1990,5325,0,0,4592,0,0,100,0,0,100,0,0
539,QC,1990,65,418.21,63.98,315.405,936.597,249,12,76,12,21,62,17
540,QC,1990,118087.981,67145.288,49116.946,271415.422,107048.001,96985.388,50,29,21,57,23,20
541,ON,1990,0,11021.851,1987.15,1517.961,6915.788,1647.25,0,85,15,15,69,16
541,QC,1990,112980.777,33097.79,223318.853,88692.549,24852.568,144461.883,31,9,60,34,10,56
542,ON,1990,0,551.268,9809.054,3567.561,2551.161,43945.279,0,5,95,7,5,88
543,ON,1990,3627,22032.577,8260.855,11053.575,37999.023,18644.605,11,65,24,16,56,28
543,QC,1990,0,214,725,0,873,3239.4,0,23,77,0,21,79
544,ON,1990,805.773,39077.439,9784.187,6950.841,48352.012,11869.948,2,79,20,10,72,18
545,ON,1990,2003.02,9458.976,7755.302,9266.016,13798.572,16930.413,10,49,40,23,35,42
546,ON,1990,0,21746.48,4610.478,0,47505.424,11072.575,0,83,17,0,81,19
546,QC,1990,0,253,0,0,432,0,0,100,0,0,100,0
547,ON,1990,3315.072,15811.59,11661.918,20480.566,35174.45,38643.275,11,51,38,22,37,41
548,QC,1990,198.96,0,0,530,0,0,100,0,0,100,0,0
549,ON,1990,0,365.363,3558.758,0,1667.478,18660.521,0,9,91,0,8,92
550,ON,1990,659.422,3358.625,1120.035,7797.054,38997.768,10094.672,13,65,22,14,69,18
551,ON,1990,20009.481,50135.465,32062.459,62700.529,67288.96,84133.511,20,49,31,29,31,39
552,ON,1990,22211.727,4243.954,0,79314.944,28097.242,35.714,84,16,0,74,26,0
553,ON,1990,54025.338,85434.737,15132.631,75860.374,99039.917,21970.634,35,55,10,39,50,11
554,ON,1990,14140.328,2931.853,0,45571.923,6473.077,0,83,17,0,88,12,0
555,ON,1990,7781.86,5521.485,14690.287,18499.455,24675.749,35714.72,28,20,52,23,31,45
556,ON,1990,15941.779,74797.151,1440.55,50706.477,124378.211,2716.313,17,81,2,29,70,2
557,ON,1990,9458.776,258410.067,0,5163.527,113104.476,0,4,96,0,4,96,0
558,ON,1990,13359.073,184443.302,907.826,19058.899,128970.31,272.794,7,93,0,13,87,0
559,ON,1990,0,310.4,0,0,0,0,0,100,0,,,
560,ON,1990,24498.346,56312.715,0,17581.875,34309.123,0,30,70,0,34,66,0
561,ON,1990,926.212,19196.072,2191.112,511.25,14562.028,1705.222,4,86,10,3,87,10
562,ON,1990,0,25160.333,12794.666,0,22585.112,11806.888,0,66,34,0,66,34
563,ON,1990,0,239,0,0,443,0,0,100,0,0,100,0
564,ON,1990,8847.286,60979.031,18494.203,18394.34,36685.99,17695.959,10,69,21,25,50,24
565,ON,1990,87832.909,200535.046,81107.05,19228.638,55964.723,20577.639,24,54,22,20,58,21
566,ON,1990,280.75,11900.8,7868.25,126.75,5162.399,4475.05,1,59,39,1,53,46
567,ON,1990,6621.111,151661.717,18885.17,2896.945,56912.441,7317.613,4,86,11,4,85,11
568,ON,1990,69510.104,8123.097,259.8,24377.617,2806.085,109.3,89,10,0,89,10,0
569,ON,1990,3136.55,20645.893,65115.556,1669.522,16252.464,66256.013,4,23,73,2,19,79
570,ON,1990,10760.12,222185.746,53448.536,1477.059,32422.082,8234.859,4,78,19,4,77,20
571,ON,1990,8860.888,1831.333,2441.778,2824.334,509,678.667,67,14,19,70,13,17
572,ON,1990,3508.356,16686.255,3513.25,486.212,2144.188,764.6,15,70,15,14,63,23
581,BC,1990,118.8,3779.08,0,147.2,4900,0,3,97,0,3,97,0
583,AB,1990,0,60.052,84.947,0,76.052,106.947,0,41,59,0,42,58
583,BC,1990,0,4856.989,1308.351,0,6315.111,1559.889,0,79,21,0,80,20
584,AB,1990,0,0,1180,0,0,1497,0,0,100,0,0,100
585,BC,1990,973.778,31965.176,0.625,1884.222,53662.906,1.875,3,97,0,3,97,0
586,AB,1990,8781.306,71580.347,31489.246,3819.529,17264.927,11342.543,8,64,28,12,53,35
587,AB,1990,23353.831,1437.9,0,5575.291,421.65,0,94,6,0,93,7,0
588,AB,1990,4996.61,12051.288,100874.292,2545.401,4752.563,33989.336,4,10,86,6,12,82
589,AB,1990,621.652,2020.368,0,359.059,1166.941,0,24,76,0,24,76,0
590,AB,1990,0,23237.217,46123.162,0,12200.766,38464.233,0,34,66,0,24,76
591,AB,1990,307.1,2553.835,126380.334,251.5,1209.5,79418.501,0,2,98,0,1,98
591,BC,1990,18649.321,90723.439,20954.438,30136.205,125124.322,22758.683,14,70,16,17,70,13
592,AB,1990,752.418,15979.041,101506.003,1233.177,24545.515,74327.308,1,14,86,1,25,74
593,AB,1990,0,6594.411,88186.588,0,3215.5,38141.501,0,7,93,0,8,92
594,AB,1990,0,0,60449.999,0,0,33845.999,0,0,100,0,0,100
595,AB,1990,0,3593.882,83083.118,0,1189.647,24191.353,0,4,96,0,5,95
596,AB,1990,7432.266,41215.301,48815.121,4409.308,20752.269,23752.223,8,42,50,9,42,49
597,AB,1990,1446.8,19558.6,26714,1486.4,16586.199,22892.999,3,41,56,4,40,56
598,AB,1990,0,1652,92560.999,0,974.4,50060.601,0,2,98,0,2,98
599,AB,1990,0,6080,68833.002,0,4535,33951,0,8,92,0,12,88
600,AB,1990,2090.307,239.353,2236,2588.898,402.236,2588.667,46,5,49,46,7,46
609,AB,1990,0,0,258,0,0,467,0,0,100,0,0,100
610,AB,1990,1043.214,10314.299,25876.117,596.369,15971.764,45258.868,3,28,69,1,26,73
610,BC,1990,0,0,0,0,0.999,0,,,,0,100,0
611,AB,1990,148,849.45,2992.55,194.5,1161,4186.5,4,21,75,4,21,76
612,AB,1990,0,6263.334,1459.325,0,9854.808,2813.192,0,81,19,0,78,22
615,AB,1990,3058.302,11357.849,0,6403.103,20653.049,0,21,79,0,24,76,0
616,AB,1990,9409.333,2918.429,0,12517.214,5423.786,0,76,24,0,70,30,0
617,AB,1990,1207.428,3533.571,1126,2690.286,6982.714,2099,21,60,19,23,59,18
618,AB,1990,820.713,9161.694,607.81,1582.081,6082.844,1127,8,87,6,18,69,13
618,BC,1990,427.845,4428.266,1046.148,1197.441,15220.338,4458.221,7,75,18,6,73,21
619,AB,1990,0,442,0,0,825,0,0,100,0,0,100,0
622,AB,1990,1849.022,6194.936,0,6548.845,22693.155,0,23,77,0,22,78,0
623,AB,1990,2250.35,11513.214,2778.173,10879.036,52905.306,13578.657,14,70,17,14,68,18
625,AB,1990,10.666,21.333,0,84.666,169.333,0,33,67,0,33,67,0
626,AB,1990,0,870.002,0,0,4299.999,0,0,100,0,0,100,0
629,AB,1990,196.9,1885.714,345.576,794.6,10517.756,2692.444,8,78,14,6,75,19
630,AB,1990,64.25,2132.421,38.667,241.625,21662.486,172.889,3,95,2,1,98,1
631,AB,1990,0,1057.5,105.5,0,5631.1,570.9,0,91,9,0,91,9
647,SK,1990,2028.803,418.197,0,1305.032,268.968,0,83,17,0,83,17,0
650,AB,1990,131.773,2133.216,330.76,903.5,10033.607,1157.895,5,82,13,7,83,10
652,SK,1990,62.182,480.819,0,62.061,479.94,0,11,89,0,11,89,0
657,SK,1990,440.337,4980.16,0,431.515,5106.486,0,8,92,0,8,92,0
658,SK,1990,1788.134,908.816,0,354.668,180.332,0,66,34,0,66,34,0
660,SK,1990,1265.923,17029.825,0,757.094,10224.904,0,7,93,0,7,93,0
661,SK,1990,60.209,4604.789,0,54.475,4488.526,0,1,99,0,1,99,0
662,SK,1990,77,308,0,15.2,60.8,0,20,80,0,20,80,0
667,MB,1990,0,214,0,0,335,0,0,100,0,0,100,0
669,MB,1990,0,17308.85,0,0,12557,0,0,100,0,0,100,0
669,SK,1990,0,0,835,0,0,421,0,0,100,0,0,100
672,SK,1990,8096.962,6117.384,443.204,3144.043,1901.676,133.281,55,42,3,61,37,3
677,MB,1990,0,0,4322,0,0,4864,0,0,100,0,0,100
678,AB,1990,4616.545,98421.433,5427.745,7635.259,151668.843,6171.706,4,91,5,5,92,4
679,AB,1990,0,11037.77,0,0,32960.001,0,0,100,0,0,100,0
680,AB,1990,4191.762,80140.663,0,7246.561,98657,0,5,95,0,7,93,0
680,SK,1990,2143.586,31469.364,0,3849.187,29159.811,0,6,94,0,12,88,0
681,AB,1990,3008.553,74260.987,18925.41,2313.53,58075.42,14909.44,3,77,20,3,77,20
682,SK,1990,7158.276,9925.741,5057.836,4958.907,8330.993,401.102,32,45,23,36,61,3
683,AB,1990,44996.77,21516,0,36661,7603,0,68,32,0,83,17,0
684,AB,1990,328.461,57855.213,22307.647,1176.063,174266.284,63151.154,0,72,28,0,73,26
685,SK,1990,1361.65,34772.9,18858.999,784.053,26057.329,6317.623,2,63,34,2,79,19
686,AB,1990,0,11165.391,0,0,21129.999,0,0,100,0,0,100,0
686,SK,1990,112.951,4024.049,0,93.396,3328.605,0,3,97,0,3,97,0
687,AB,1990,3089.777,10308.123,0,4478.911,13743.385,0,23,77,0,25,75,0
687,SK,1990,12988.723,122455.274,0,6463.678,51284.326,0,10,90,0,11,89,0
688,AB,1990,0,69579.897,0,0,51993.799,0,0,100,0,0,100,0
689,SK,1990,3663.821,50238.682,0,3318.467,17126.539,0,7,93,0,16,84,0
690,SK,1990,4142.555,50915.843,0,2974.734,27551.264,0,8,92,0,10,90,0
691,SK,1990,17991.52,1711.78,0,6167.729,104.272,0,91,9,0,98,2,0
692,AB,1990,50.766,24832.878,8520.347,171.154,83840.571,40892.38,0,74,26,0,67,33
693,SK,1990,15758.346,120767.656,0,7472.48,19212.519,0,12,88,0,28,72,0
694,SK,1990,41932.598,39758.561,20146.834,11106.175,11955.331,5099.495,41,39,20,39,42,18
695,SK,1990,38378.382,19291.618,0,12279.716,10435.283,0,67,33,0,54,46,0
696,SK,1990,74848.134,102834.82,0,26428.39,25109.611,0,42,58,0,51,49,0
697,SK,1990,0,8194.02,44100.976,0,2491.569,13450.429,0,16,84,0,16,84
698,SK,1990,32304.297,22578.195,0,7407.891,7353.106,0,59,41,0,50,50,0
699,SK,1990,0,41985.001,0,0,18342.001,0,0,100,0,0,100,0
700,SK,1990,0,10601.487,32306.564,0,6764.268,9604.73,0,25,75,0,41,59
701,SK,1990,63542.687,14908.717,0,25231.079,2675.921,0,81,19,0,90,10,0
702,SK,1990,9715.53,197137.044,18678.425,2048.035,23839.496,265.468,4,87,8,8,91,1
703,AB,1990,0,51423.12,737.059,0,125957.851,2121,0,99,1,0,98,2
704,SK,1990,1133.368,66206.25,23756.68,664.388,19688.463,6175.151,1,73,26,3,74,23
705,SK,1990,0,63076.858,214515.146,0,26094.554,18061.45,0,23,77,0,59,41
706,SK,1990,3821.575,116774.424,0,343.538,18876.463,0,3,97,0,2,98,0
707,SK,1990,18463.011,180956.749,1797.342,14063.786,40914.226,687.985,9,90,1,25,73,1
708,AB,1990,1738.8,61186.592,0,4653,128597.85,0,3,97,0,3,97,0
709,MB,1990,4612.298,155482.126,14639.424,3724.414,67408.905,3414.679,3,89,8,5,90,5
709,SK,1990,31649.545,196747.622,12721.838,9553.341,43201.757,2265.9,13,82,5,17,79,4
710,SK,1990,1636.687,19794.613,0,1036.7,16337.298,0,8,92,0,6,94,0
711,SK,1990,306.975,25776.975,0,985.454,16085.545,0,1,99,0,6,94,0
714,MB,1990,0,1755,0,0,1545,0,0,100,0,0,100,0
714,SK,1990,0,63235.48,5194.967,0,29898.614,2991.382,0,92,8,0,91,9
715,MB,1990,897.33,17422.601,12216.17,1179.776,10232.795,8993.428,3,57,40,6,50,44
715,SK,1990,0,10536.709,3001.287,0,3494.928,804.072,0,78,22,0,81,19
716,MB,1990,4706.65,39729.55,19666.55,3291.999,24405.5,14145.5,7,62,31,8,58,34
717,MB,1990,47787.386,45963.652,13873.463,23094.058,25017.193,3094.749,44,43,13,45,49,6
718,MB,1990,0,3655.7,0,0,8474,0,0,100,0,0,100,0
720,MB,1990,0,0,2094.6,0,0,5602,0,0,100,0,0,100
723,MB,1990,98,33700.253,3426.7,276,98813.997,4057,0,91,9,0,96,4
724,MB,1990,3188.935,27234.49,130947.225,7051.316,23062.949,79425.739,2,17,81,6,21,73
726,MB,1990,52573.277,0,1580.672,68103.982,0,952.019,97,0,3,99,0,1
727,AB,1990,24638.286,169764.099,132114.942,22735.235,119381.616,66703.879,8,52,40,11,57,32
728,AB,1990,4188.889,194934.961,3576,1952.222,48067.827,678.45,2,96,2,4,95,1
729,AB,1990,40099.049,119618.869,0,18659.179,34863.153,0,25,75,0,35,65,0
729,SK,1990,28118.927,454552.065,0,5931.894,91277.109,0,6,94,0,6,94,0
730,AB,1990,50529.358,447683.708,13073.334,24517.93,170345.567,4910.556,10,88,3,12,85,2
731,AB,1990,23699.994,452043.304,0,14156.006,161194.013,0,5,95,0,8,92,0
732,AB,1990,0,12767.4,0,0,23544,0,0,100,0,0,100,0
733,SK,1990,33704.064,175763.916,10575.016,2979.472,47436.539,821.984,15,80,5,6,93,2
734,SK,1990,44910.325,14734.677,0,13013.849,1811.149,0,75,25,0,88,12,0
735,SK,1990,5740.73,179948.269,0,4692.647,24654.352,0,3,97,0,16,84,0
736,SK,1990,42371.647,238966.639,8220.713,8276.359,36432.306,738.337,15,83,3,18,80,2
737,AB,1990,20351.1,107176.299,14984.5,15969.4,85582,9835.9,14,75,11,14,77,9
738,AB,1990,9818.86,135643.86,0,4907.9,23642.06,0,7,93,0,17,83,0
739,AB,1990,112043.862,9330.3,0,86066.108,9095.4,0,92,8,0,90,10,0
739,SK,1990,53820.659,4988.342,0,16734.329,1527.674,0,92,8,0,92,8,0
740,AB,1990,14245,148028.7,0,13925,83869.299,0,9,91,0,14,86,0
741,SK,1990,4558.31,164251.08,1467.607,201.227,10231.866,45.905,3,96,1,2,98,0
742,SK,1990,33623.647,11867.353,0,10181.086,380.915,0,74,26,0,96,4,0
743,AB,1990,2375.1,89108.372,0,487.8,34773.283,0,3,97,0,1,99,0
743,SK,1990,5053.164,8446.281,3139.556,775.44,2169.533,729.778,30,51,19,21,59,20
744,AB,1990,0,189287.03,15373.12,0,81094.18,2721.12,0,92,8,0,97,3
745,SK,1990,31493.244,792429.249,3601.507,5202.338,67968.644,303.016,4,96,0,7,93,0
746,AB,1990,0,162842.35,0,0,81345.65,0,0,100,0,0,100,0
747,SK,1990,32881.801,45810.2,0,14352.118,6213.881,0,42,58,0,70,30,0
748,SK,1990,7086.989,731547.042,882.969,1633.319,89337.021,100.663,1,99,0,2,98,0
749,SK,1990,19445.887,403429.121,0,2103.87,60111.129,0,5,95,0,3,97,0
750,AB,1990,0,65930.56,14390.04,0,109864.36,28903.04,0,82,18,0,79,21
751,MB,1990,13550.703,41926.648,0,11083.232,16398.854,77.292,24,76,0,40,60,0
751,SK,1990,16823.239,16348.61,0,6633.175,5646.825,0,51,49,0,54,46,0
752,MB,1990,0,124297.471,1707.528,0,37507.327,529.672,0,99,1,0,99,1
752,SK,1990,17421.095,500093.904,0,3521.273,71463.728,0,3,97,0,5,95,0
753,MB,1990,3696.598,485254.24,6956.16,1965.559,119698.6,2313.84,1,98,1,2,97,2
754,SK,1990,4156.395,183051.183,64934.424,1941.579,15085.522,5122.898,2,73,26,9,68,23
755,SK,1990,2798.355,214442.644,0,192.189,22492.811,0,1,99,0,1,99,0
756,SK,1990,7144.097,402410.905,0,563.254,53835.742,0,2,98,0,1,99,0
757,MB,1990,66276.905,26598.094,1572.65,39875.532,7499.467,0,70,28,2,84,16,0
758,MB,1990,46486.912,127277.777,10206.706,22031.586,34453.911,7977.786,25,69,6,34,53,12
759,MB,1990,4873.494,34557.506,0,7130.561,13720.438,0,12,88,0,34,66,0
760,MB,1990,0,94379.001,0,3008.514,14793.486,0,0,100,0,17,83,0
760,SK,1990,6604.883,422853.116,0,6219.803,66443.195,0,2,98,0,9,91,0
761,SK,1990,0,21332.998,2604,0,5648.001,885,0,89,11,0,86,14
762,SK,1990,35325.309,93270.695,0,6322.567,16337.432,0,27,73,0,28,72,0
763,MB,1990,99627.542,62115.497,6268.96,60061.827,25693.216,6083.957,59,37,4,65,28,7
763,SK,1990,48653.037,16726.964,0,6340.227,3741.773,0,74,26,0,63,37,0
764,MB,1990,410.937,78219.065,0,1128.729,21365.272,0,1,99,0,5,95,0
765,MB,1990,3552.528,369002.477,0,7314.081,64316.187,1059.9,1,99,0,10,88,1
766,MB,1990,1090.194,194111.808,0,698.611,40310.389,0,1,99,0,2,98,0
767,SK,1990,4097.423,459596.183,48739.393,343.527,28404.085,3556.389,1,90,10,1,88,11
768,SK,1990,0,46121.999,0,0,6354.999,0,0,100,0,0,100,0
769,AB,1990,0,126525.8,0,0,39387,0,0,100,0,0,100,0
770,SK,1990,73643.712,241101.006,9046.281,19768.261,29607.881,1291.863,23,74,3,39,58,3
771,AB,1990,17990.711,94022.407,266.2,4692.789,32677.194,72.2,16,84,0,13,87,0
771,SK,1990,0,54424.619,1788.38,596.584,6601.683,317.734,0,97,3,8,88,4
772,SK,1990,16829.248,30120.751,0,8028.834,1892.164,0,36,64,0,81,19,0
773,SK,1990,13404.933,284375.614,33112.457,1504.653,18527.126,3260.217,4,86,10,6,80,14
774,SK,1990,0,70684.003,0,0,3603.997,0,0,100,0,0,100,0
775,SK,1990,3488.488,77135.513,0,113.244,6038.756,0,4,96,0,2,98,0
776,SK,1990,47183.648,10109.35,0,17916.072,1915.927,0,82,18,0,90,10,0
777,AB,1990,16287.7,3859.5,0,6686.2,1404.45,0,81,19,0,83,17,0
778,SK,1990,23044.622,9708.378,0,2017.187,849.813,0,70,30,0,70,30,0
779,AB,1990,0,39492.9,0,0,7955.1,0,0,100,0,0,100,0
780,SK,1990,9443.436,56105.392,282537.168,622.77,1526.034,7866.2,3,16,81,6,15,79
781,AB,1990,14404.88,61665.074,158033.888,2917.04,8336.232,9799.449,6,26,68,14,40,47
782,SK,1990,20416.811,596527.187,0,3814.764,38876.239,0,3,97,0,9,91,0
783,SK,1990,0,306990.005,0,0,16975.002,0,0,100,0,0,100,0
784,SK,1990,13779.009,82499.873,2293.121,2691.295,9189.323,187.385,14,84,2,22,76,2
785,SK,1990,0,88294.669,6669.33,0,5813.482,152.519,0,93,7,0,97,3
786,AB,1990,0,111080.85,24.8,0,20219.7,10.5,0,100,0,0,100,0
787,AB,1990,0,52031.5,0,0,6511.2,0,0,100,0,0,100,0
788,AB,1990,0,54234.8,17587.2,0,9819.4,1224.6,0,76,24,0,89,11
789,SK,1990,18641.108,143235.321,2786.572,7723.34,8168.66,0,11,87,2,49,51,0
790,AB,1990,15733.2,46275.4,0,3374,5281.201,0,25,75,0,39,61,0
791,AB,1990,0,209064,0,0,15354,0,0,100,0,0,100,0
792,SK,1990,41955.121,64885.39,654649.486,10130.621,14714.251,9203.13,6,9,86,30,43,27
793,AB,1990,52687.758,377781.313,24982.812,10284.643,89762.079,4761.2,12,83,5,10,86,5
794,SK,1990,0,520758.001,0,0,26816.002,0,0,100,0,0,100,0
795,SK,1990,25.08,280549.922,0,1097.4,19348.598,0,0,100,0,5,95,0
