Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
1994,ON,1,Urea,0.468086819
1994,ON,2,Urea ammonium nitrate,0.173284293
1994,ON,3,Anhydrous ammonia,0.152077475
1994,ON,4,Other,0.206551414
1994,QC,1,Urea,0.540808718
1994,QC,2,Urea ammonium nitrate,0.054762923
1994,QC,3,Anhydrous ammonia,0.024508098
1994,QC,4,Other,0.379920262
1994,SK,1,Urea,0.453479552
1994,SK,2,Urea ammonium nitrate,0.004169031
1994,SK,3,Anhydrous ammonia,0.306650957
1994,SK,4,Other,0.23570046
1995,AB,1,Urea,0.446748929
1995,AB,2,Urea ammonium nitrate,0.015803791
1995,AB,3,Anhydrous ammonia,0.349797186
1995,AB,4,Other,0.187650093
1995,Atlantic,1,Urea,0.280669689
1995,Atlantic,2,Urea ammonium nitrate,0
1995,Atlantic,3,Anhydrous ammonia,0
1995,Atlantic,4,Other,0.719330311
1995,BC,1,Urea,0.53964953
1995,BC,2,Urea ammonium nitrate,0.001966313
1995,BC,3,Anhydrous ammonia,0.164503723
1995,BC,4,Other,0.293880435
1995,MB,1,Urea,0.366139916
1995,MB,2,Urea ammonium nitrate,0.050566889
1995,MB,3,Anhydrous ammonia,0.39865376
1995,MB,4,Other,0.184639435
1995,ON,1,Urea,0.48705813
1995,ON,2,Urea ammonium nitrate,0.178925543
1995,ON,3,Anhydrous ammonia,0.137158878
1995,ON,4,Other,0.196857449
1995,QC,1,Urea,0.531861636
1995,QC,2,Urea ammonium nitrate,0.067472883
1995,QC,3,Anhydrous ammonia,0.034500437
1995,QC,4,Other,0.366165043
1995,SK,1,Urea,0.455496999
1995,SK,2,Urea ammonium nitrate,0.007164396
1995,SK,3,Anhydrous ammonia,0.309451419
1995,SK,4,Other,0.227887187
1996,AB,1,Urea,0.431324833
1996,AB,2,Urea ammonium nitrate,0.023834103
1996,AB,3,Anhydrous ammonia,0.384128803
1996,AB,4,Other,0.160712262
1996,Atlantic,1,Urea,0.248640507
1996,Atlantic,2,Urea ammonium nitrate,0
1996,Atlantic,3,Anhydrous ammonia,0
1996,Atlantic,4,Other,0.751359493
1996,BC,1,Urea,0.572789819
1996,BC,2,Urea ammonium nitrate,0.004845118
1996,BC,3,Anhydrous ammonia,0.147776091
1996,BC,4,Other,0.274588973
1996,MB,1,Urea,0.297628646
1996,MB,2,Urea ammonium nitrate,0.042282277
1996,MB,3,Anhydrous ammonia,0.474887905
1996,MB,4,Other,0.185201172
1996,ON,1,Urea,0.511716945
1996,ON,2,Urea ammonium nitrate,0.177531736
1996,ON,3,Anhydrous ammonia,0.12624289
1996,ON,4,Other,0.184508429
1996,QC,1,Urea,0.55295888
1996,QC,2,Urea ammonium nitrate,0.064914944
1996,QC,3,Anhydrous ammonia,0.028853239
1996,QC,4,Other,0.353272937
1996,SK,1,Urea,0.446529292
1996,SK,2,Urea ammonium nitrate,0.008576833
1996,SK,3,Anhydrous ammonia,0.321998335
1996,SK,4,Other,0.22289554
1997,AB,1,Urea,0.465623479
1997,AB,2,Urea ammonium nitrate,0.023172449
1997,AB,3,Anhydrous ammonia,0.348101293
1997,AB,4,Other,0.163102779
1997,Atlantic,1,Urea,0.252271836
1997,Atlantic,2,Urea ammonium nitrate,0
1997,Atlantic,3,Anhydrous ammonia,0
1997,Atlantic,4,Other,0.747728164
1997,BC,1,Urea,0.500849197
1997,BC,2,Urea ammonium nitrate,0
1997,BC,3,Anhydrous ammonia,0.213966428
1997,BC,4,Other,0.285184375
1997,MB,1,Urea,0.291257479
1997,MB,2,Urea ammonium nitrate,0.052832723
1997,MB,3,Anhydrous ammonia,0.457520007
1997,MB,4,Other,0.198389791
1997,ON,1,Urea,0.477024704
1997,ON,2,Urea ammonium nitrate,0.200139441
1997,ON,3,Anhydrous ammonia,0.128114531
1997,ON,4,Other,0.194721324
1997,QC,1,Urea,0.523872195
1997,QC,2,Urea ammonium nitrate,0.075641715
1997,QC,3,Anhydrous ammonia,0.028819551
1997,QC,4,Other,0.371666539
1997,SK,1,Urea,0.42803636
1997,SK,2,Urea ammonium nitrate,0.013836141
1997,SK,3,Anhydrous ammonia,0.339469932
1997,SK,4,Other,0.218657567
1998,AB,1,Urea,0.427777158
1998,AB,2,Urea ammonium nitrate,0.033136095
1998,AB,3,Anhydrous ammonia,0.338729485
1998,AB,4,Other,0.200357262
1998,Atlantic,1,Urea,0.247607656
1998,Atlantic,2,Urea ammonium nitrate,0
1998,Atlantic,3,Anhydrous ammonia,0
1998,Atlantic,4,Other,0.752392344
1998,BC,1,Urea,0.583485494
1998,BC,2,Urea ammonium nitrate,0.005680665
1998,BC,3,Anhydrous ammonia,0.18299858
1998,BC,4,Other,0.227835261
1998,MB,1,Urea,0.33452674
1998,MB,2,Urea ammonium nitrate,0.063437011
1998,MB,3,Anhydrous ammonia,0.394495413
1998,MB,4,Other,0.207540837
1998,ON,1,Urea,0.436798619
1998,ON,2,Urea ammonium nitrate,0
1998,ON,3,Anhydrous ammonia,0.20224442
1998,ON,4,Other,0.360956961
1998,QC,1,Urea,0.489917067
1998,QC,2,Urea ammonium nitrate,0
1998,QC,3,Anhydrous ammonia,0.03579223
1998,QC,4,Other,0.474290703
1998,SK,1,Urea,0.479147938
1998,SK,2,Urea ammonium nitrate,0.034473324
1998,SK,3,Anhydrous ammonia,0.293257768
1998,SK,4,Other,0.193120969
1999,AB,1,Urea,0.4336121
1999,AB,2,Urea ammonium nitrate,0.030081523
1999,AB,3,Anhydrous ammonia,0.355838301
1999,AB,4,Other,0.180468075
1999,Atlantic,1,Urea,0.228231208
1999,Atlantic,2,Urea ammonium nitrate,0
1999,Atlantic,3,Anhydrous ammonia,0
1999,Atlantic,4,Other,0.771768792
1999,BC,1,Urea,0.625572005
1999,BC,2,Urea ammonium nitrate,0.007537012
1999,BC,3,Anhydrous ammonia,0.154508748
1999,BC,4,Other,0.212382234
1999,MB,1,Urea,0.294796582
1999,MB,2,Urea ammonium nitrate,0.066955745
1999,MB,3,Anhydrous ammonia,0.434000765
1999,MB,4,Other,0.204246907
1999,ON,1,Urea,0.434212041
1999,ON,2,Urea ammonium nitrate,0
1999,ON,3,Anhydrous ammonia,0.231265109
1999,ON,4,Other,0.33452285
1999,QC,1,Urea,0.483542995
1999,QC,2,Urea ammonium nitrate,0
1999,QC,3,Anhydrous ammonia,0.077718422
1999,QC,4,Other,0.438738583
1999,SK,1,Urea,0.440992041
1999,SK,2,Urea ammonium nitrate,0.03995498
1999,SK,3,Anhydrous ammonia,0.32301632
1999,SK,4,Other,0.196036659
2000,AB,1,Urea,0.431490334
2000,AB,2,Urea ammonium nitrate,0.031981048
2000,AB,3,Anhydrous ammonia,0.353822074
2000,AB,4,Other,0.182706544
2000,Atlantic,1,Urea,0.175389948
2000,Atlantic,2,Urea ammonium nitrate,0
2000,Atlantic,3,Anhydrous ammonia,0
2000,Atlantic,4,Other,0.824610052
2000,BC,1,Urea,0.621300497
2000,BC,2,Urea ammonium nitrate,0.012097645
2000,BC,3,Anhydrous ammonia,0.194858501
2000,BC,4,Other,0.171743357
2000,MB,1,Urea,0.287664231
2000,MB,2,Urea ammonium nitrate,0.070713448
2000,MB,3,Anhydrous ammonia,0.453624365
2000,MB,4,Other,0.187997956
2000,ON,1,Urea,0.522295623
2000,ON,2,Urea ammonium nitrate,0
2000,ON,3,Anhydrous ammonia,0.198905863
2000,ON,4,Other,0.278798514
2000,QC,1,Urea,0.550348953
2000,QC,2,Urea ammonium nitrate,0
2000,QC,3,Anhydrous ammonia,0.065403789
2000,QC,4,Other,0.384247258
2000,SK,1,Urea,0.420709106
2000,SK,2,Urea ammonium nitrate,0.05471394
2000,SK,3,Anhydrous ammonia,0.333682514
2000,SK,4,Other,0.19089444
2001,AB,1,Urea,0.468945595
2001,AB,2,Urea ammonium nitrate,0.01550313
2001,AB,3,Anhydrous ammonia,0.323736158
2001,AB,4,Other,0.191815118
2001,Atlantic,1,Urea,0.173071755
2001,Atlantic,2,Urea ammonium nitrate,0
2001,Atlantic,3,Anhydrous ammonia,0.044074174
2001,Atlantic,4,Other,0.782854071
2001,BC,1,Urea,0.576198426
2001,BC,2,Urea ammonium nitrate,0
2001,BC,3,Anhydrous ammonia,0.195564035
2001,BC,4,Other,0.228237539
2001,MB,1,Urea,0.292413972
2001,MB,2,Urea ammonium nitrate,0.066292609
2001,MB,3,Anhydrous ammonia,0.428177602
2001,MB,4,Other,0.213115817
2001,ON,1,Urea,0.407735697
2001,ON,2,Urea ammonium nitrate,0
2001,ON,3,Anhydrous ammonia,0.250143893
2001,ON,4,Other,0.34212041
2001,QC,1,Urea,0.530294027
2001,QC,2,Urea ammonium nitrate,0
2001,QC,3,Anhydrous ammonia,0.107199734
2001,QC,4,Other,0.362506239
2001,SK,1,Urea,0.440642842
2001,SK,2,Urea ammonium nitrate,0.03890886
2001,SK,3,Anhydrous ammonia,0.312116727
