Year,Province_ID,Crop_Type,Fert_ID,Description,Fertilizer_Applied,Emissions,IEF
2013,SK,Annual,4,Other,195181443.1,7680032.656,0.03934817
2014,AB,Annual,1,Urea,424443439.4,25426689.24,0.059905954
2014,AB,Annual,2,Urea ammonium nitrate,23157792.97,1056891.942,0.045638716
2014,AB,Annual,3,Anhydrous ammonia,147749082.2,7419401.348,0.050216226
2014,AB,Annual,4,Other,107498632.5,4087559.286,0.038024291
2014,BC,Annual,1,Urea,7779483.245,451185.129,0.057996799
2014,BC,Annual,2,Urea ammonium nitrate,0,0,
2014,BC,Annual,3,Anhydrous ammonia,2773545.671,134551.294,0.048512377
2014,BC,Annual,4,Other,5207673.194,191457.4685,0.036764494
2014,MB,Annual,1,Urea,101193659,7190886.774,0.071060646
2014,MB,Annual,2,Urea ammonium nitrate,58956382.98,3206945.663,0.054395224
2014,MB,Annual,3,Anhydrous ammonia,139770744.7,8365419.077,0.059851002
2014,MB,Annual,4,Other,60173806.67,2726501.398,0.045310436
2014,NB,Annual,1,Urea,0,0,
2014,NB,Annual,2,Urea ammonium nitrate,0,0,
2014,NB,Annual,3,Anhydrous ammonia,0,0,
2014,NB,Annual,4,Other,6773846.224,218350.8014,0.03223439
2014,NL,Annual,1,Urea,0,0,
2014,NL,Annual,2,Urea ammonium nitrate,0,0,
2014,NL,Annual,3,Anhydrous ammonia,0,0,
2014,NL,Annual,4,Other,0,0,
2014,NS,Annual,1,Urea,0,0,
2014,NS,Annual,2,Urea ammonium nitrate,0,0,
2014,NS,Annual,3,Anhydrous ammonia,0,0,
2014,NS,Annual,4,Other,473167.4802,15123.17455,0.031961568
2014,ON,Annual,1,Urea,62379900.42,6227342.061,0.099829304
2014,ON,Annual,2,Urea ammonium nitrate,69440000,4279007.99,0.061621659
2014,ON,Annual,3,Anhydrous ammonia,16400000,889684.1673,0.054249035
2014,ON,Annual,4,Other,39004079.81,1418632.989,0.0363714
2014,PE,Annual,1,Urea,12763.92748,1117.470431,0.087549105
2014,PE,Annual,2,Urea ammonium nitrate,0,0,
2014,PE,Annual,3,Anhydrous ammonia,0,0,
2014,PE,Annual,4,Other,11858612.5,379019.8488,0.031961568
2014,QC,Annual,1,Urea,22243340.82,1996644.474,0.089763696
2014,QC,Annual,2,Urea ammonium nitrate,36120000,1987625.913,0.055028403
2014,QC,Annual,3,Anhydrous ammonia,9020000,436970.4558,0.048444618
2014,QC,Annual,4,Other,35896154.2,1171214.104,0.032627844
2014,SK,Annual,1,Urea,445322269.8,27558467.66,0.061884324
2014,SK,Annual,2,Urea ammonium nitrate,131880000,6228308.049,0.047227086
2014,SK,Annual,3,Anhydrous ammonia,202540000,10524769.78,0.051963907
2014,SK,Annual,4,Other,141920000,5584219.153,0.039347655
2015,AB,Annual,1,Urea,478048295,28632822.42,0.059895251
2015,AB,Annual,2,Urea ammonium nitrate,22842720.96,1042716.335,0.045647641
2015,AB,Annual,3,Anhydrous ammonia,113032084.7,5677154.762,0.050226047
2015,AB,Annual,4,Other,116576644.9,4433611.143,0.038031727
2015,BC,Annual,1,Urea,10040705.72,582020.4988,0.057966095
2015,BC,Annual,2,Urea ammonium nitrate,0,0,
2015,BC,Annual,3,Anhydrous ammonia,1374227.405,66667.51808,0.048512726
2015,BC,Annual,4,Other,5464559.016,200796.8543,0.036745299
2015,MB,Annual,1,Urea,117881936.5,8375139.855,0.071046847
2015,MB,Annual,2,Urea ammonium nitrate,58000000,3153963.186,0.054378676
2015,MB,Annual,3,Anhydrous ammonia,147600000,8831320.313,0.059832793
2015,MB,Annual,4,Other,61886680.59,2803812.112,0.045305582
2015,NB,Annual,1,Urea,112105.9318,9875.091489,0.088087145
2015,NB,Annual,2,Urea ammonium nitrate,0,0,
2015,NB,Annual,3,Anhydrous ammonia,0,0,
2015,NB,Annual,4,Other,5084908.436,163907.3583,0.032234083
2015,NL,Annual,1,Urea,0,0,
2015,NL,Annual,2,Urea ammonium nitrate,0,0,
2015,NL,Annual,3,Anhydrous ammonia,0,0,
2015,NL,Annual,4,Other,-3.63798E-12,-1.16276E-13,0.031961568
2015,NS,Annual,1,Urea,0,0,
2015,NS,Annual,2,Urea ammonium nitrate,0,0,
2015,NS,Annual,3,Anhydrous ammonia,0,0,
2015,NS,Annual,4,Other,422786.3346,13512.91414,0.031961568
2015,ON,Annual,1,Urea,39871237.77,3978768.027,0.099790432
2015,ON,Annual,2,Urea ammonium nitrate,70560000,4346641.842,0.061602067
2015,ON,Annual,3,Anhydrous ammonia,18040000,978341.4324,0.054231787
2015,ON,Annual,4,Other,32628165.91,1186091.828,0.036351778
2015,PE,Annual,1,Urea,72324.46112,6331.941864,0.087549105
2015,PE,Annual,2,Urea ammonium nitrate,0,0,
2015,PE,Annual,3,Anhydrous ammonia,0,0,
2015,PE,Annual,4,Other,9178676.562,293364.8942,0.031961568
2015,QC,Annual,1,Urea,23949440.08,2149066.85,0.08973349
2015,QC,Annual,2,Urea ammonium nitrate,33880000,1863730.241,0.055009747
2015,QC,Annual,3,Anhydrous ammonia,13120000,635377.9136,0.048428195
2015,QC,Annual,4,Other,45281647.94,1476526.278,0.032607609
2015,SK,Annual,1,Urea,499128237,30885493.74,0.061878875
2015,SK,Annual,2,Urea ammonium nitrate,138880000,6558919.742,0.047227245
2015,SK,Annual,3,Anhydrous ammonia,216480000,11249184.54,0.051964082
2015,SK,Annual,4,Other,147240000,5793568.191,0.039347787
2016,AB,Annual,1,Urea,401640752.7,24057691.13,0.059898531
2016,AB,Annual,2,Urea ammonium nitrate,18589248.78,848717.6873,0.045656374
2016,AB,Annual,3,Anhydrous ammonia,100921504.2,5069857.838,0.050235655
2016,AB,Annual,4,Other,105312820.4,4005994.629,0.038039002
2016,BC,Annual,1,Urea,10813934.78,626724.1936,0.057955241
2016,BC,Annual,2,Urea ammonium nitrate,0,0,
2016,BC,Annual,3,Anhydrous ammonia,0,0,
2016,BC,Annual,4,Other,6490463.509,238474.7409,0.036742328
2016,MB,Annual,1,Urea,134353954.2,9543913.957,0.071035602
2016,MB,Annual,2,Urea ammonium nitrate,47200000,2565963.147,0.054363626
2016,MB,Annual,3,Anhydrous ammonia,148420000,8877925.502,0.059816234
2016,MB,Annual,4,Other,70045320.44,3173200.719,0.045302109
2016,NB,Annual,1,Urea,20628.67467,1817.121059,0.088087145
2016,NB,Annual,2,Urea ammonium nitrate,0,0,
2016,NB,Annual,3,Anhydrous ammonia,0,0,
2016,NB,Annual,4,Other,8447524.573,272279.0113,0.032231811
2016,NL,Annual,1,Urea,0,0,
2016,NL,Annual,2,Urea ammonium nitrate,0,0,
2016,NL,Annual,3,Anhydrous ammonia,0,0,
2016,NL,Annual,4,Other,1401.628378,44.79824058,0.031961568
2016,NS,Annual,1,Urea,0,0,
2016,NS,Annual,2,Urea ammonium nitrate,0,0,
2016,NS,Annual,3,Anhydrous ammonia,0,0,
2016,NS,Annual,4,Other,846449.9478,27053.86748,0.031961568
2016,ON,Annual,1,Urea,76305441.62,7610185.416,0.099733194
2016,ON,Annual,2,Urea ammonium nitrate,65074101.88,4007159.394,0.061578405
